en,zh-cn,de
httpsStrong,http<strong>s</strong>,http<strong>s</strong>
StickX,StickX,StickX
StickY,StickY,StickY
&second;,&second;,&second;
&lt;,&amp;lt;,&amp;lt;
&gt;,&amp;gt;,&amp;gt;
&rarr;,&amp;rarr;,&amp;rarr;
&erddapUrl,&amp;erddapUrl,&amp;erddapUrl
&mdash;,&amp;mdash;,&amp;mdash;
&ndash;,&amp;ndash;,&amp;ndash;
"""Linear""","""Linear""","""Linear"""
"""Log""","""Log""","""Log"""
"""log""","""log""","""log"""
strongLines,"<strong>lines</strong>","<strong>lines</strong>"
strongLinesAndMarkers,"<strong>linesAndMarkers</strong>","<strong>linesAndMarkers</strong>"
strongMarkers,"<strong>markers</strong>","<strong>markers</strong>"
strongSticks,"<strong>sticks</strong>","<strong>sticks</strong>"
strongSurface,"<strong>surface</strong>","<strong>surface</strong>"
strongVectors,"<strong>vector</strong>","<strong>vector</strong>"
subsetVariables,subsetVariables,subsetVariables
"""last""","""last""","""last"""
fileType={0},fileType={0},fileType={0}
position={1},position={1},position={1}
"""stationID,time/1day,10""","""stationID,time/1day,10""","""stationID,time/1day,10"""
HTTP GET,HTTP GET,HTTP GET
SOAP+XML,SOAP+XML,SOAP+XML
ESRI .asc,ESRI .asc,ESRI .asc
.mat,.mat,.mat
.kml,.kml,.kml
.nc,.nc,.nc
ODV .txt,ODV .txt,ODV .txt
WCS,WCS,WCS
WFS,WFS,WFS
excludedWord,excludedWord,excludedWord
protocol=griddap,protocol=griddap,protocol=griddap
protocol=tabledap,protocol=tabledap,protocol=tabledap
kbdExcludedWord,"<kbd>-<i>excludedWord</i></kbd>","<kbd>-<i>excludedWord</i></kbd>"
kbdquoteExcludedPhrase,"<kbd>-&quot;<i>excluded phrase</i>&quot;</kbd>","<kbd>-&quot;<i>excluded phrase</i>&quot;</kbd>"
kbdAND,"<kbd>AND</kbd>","<kbd>AND</kbd>"
kbdQuoteDatasetIDERD,"<kbd>&quot;datasetID=<i>erd</i>&quot;</kbd>","<kbd>&quot;datasetID=<i>erd</i>&quot;</kbd>"
kbdSpee,"<kbd>spee</kbd>","<kbd>spee</kbd>"
kbdSpeed,"<kbd>speed</kbd>","<kbd>speed</kbd>"
kbdWindSpeed,"<kbd>WindSpeed</kbd>","<kbd>WindSpeed</kbd>"
searchEngine=lucene,searchEngine=lucene,searchEngine=lucene
OGC,OGC,OGC
IOOS DIF SOS,IOOS DIF SOS,IOOS DIF SOS
OOSTethys,OOSTethys,OOSTethys
kbdQuoteWindSpeed,"<kbd>&quot;wind speed&quot;</kbd>","<kbd>&quot;wind speed&quot;</kbd>"
RSS,RSS,RSS
"""days since Jan 1, 1900""","""days since Jan 1, 1900""","""days since Jan 1, 1900"""
ERDDAP,ERDDAP,ERDDAP
'import','import','import'
"""{1}""","""{1}""","""{1}"""
DAP,DAP,DAP
DODS,DODS,DODS
GNOME,GNOME,GNOME
Unidata,Unidata,Unidata
COARDS,COARDS,COARDS
NetCDF,NetCDF,NetCDF
WMS,WMS,WMS
deflate,deflate,deflate
REST,REST,REST
ROA,ROA,ROA
Push,Push,Push
Pull,Pull,Pull
Hyrax,Hyrax,Hyrax
"""institution""","""institution""","""institution"""
"""title""","""title""","""title"""
Leaflet,Leaflet,Leaflet
long_name,long_name,long_name
content-encoding,content-encoding,content-encoding
.htmlTable,.htmlTable,.htmlTable
.itx,.itx,.itx
.json,.json,.json
.jsonlCSV1,.jsonlCSV1,.jsonlCSV1
.jsonlCSV,.jsonlCSV,.jsonlCSV
.jsonlKVP,.jsonlKVP,.jsonlKVP
.nccsv,.nccsv,.nccsv
.tsv,.tsv,.tsv
.xhtml,.xhtml,.xhtml
.fileType,.fileType,.fileType
OpenSearch,OpenSearch,OpenSearch
"""searchFor=wind%20speed""","""searchFor=wind%20speed""","""searchFor=wind%20speed"""
categoryAttributes,categoryAttributes,categoryAttributes
mashups,mashups,mashups
AJAX,AJAX,AJAX
java.net.URLEncoder,java.net.URLEncoder,java.net.URLEncoder
encodeURIComponent(),encodeURIComponent(),encodeURIComponent()
&niceProtocol;,&niceProtocol;,&niceProtocol;
&descriptionUrl;,&descriptionUrl;,&descriptionUrl;
&sampleUrl;,&sampleUrl;,&sampleUrl;
&tErddapUrl;,&tErddapUrl;,&tErddapUrl;
&tEmailAddress;,&tEmailAddress;,&tEmailAddress;
&safeEmail;,&safeEmail;,&safeEmail;
&htmlTooltipImage;,&htmlTooltipImage;,&htmlTooltipImage;
&htmlQueryUrl;,&htmlQueryUrl;,&htmlQueryUrl;
&jsonQueryUrl;,&jsonQueryUrl;,&jsonQueryUrl;
&htmlQueryUrlWithSpaces;,&htmlQueryUrlWithSpaces;&htmlQueryUrlWithSpaces;
&acceptEncodingHtmlh3tErddapUrl;,&acceptEncodingHtmlh3tErddapUrl;,&acceptEncodingHtmlh3tErddapUrl;
&plainLinkExamples1;,&plainLinkExamples1;,&plainLinkExamples1;
&plainLinkExamples2;,&plainLinkExamples2;,&plainLinkExamples2;
&plainLinkExamples3;,&plainLinkExamples3;,&plainLinkExamples3;
&plainLinkExamples4;,&plainLinkExamples4;,&plainLinkExamples4;
&plainLinkExamples5;,&plainLinkExamples5;,&plainLinkExamples5;
&plainLinkExamples6;,&plainLinkExamples6;,&plainLinkExamples6;
&plainLinkExamples7;,&plainLinkExamples7;,&plainLinkExamples7;
&plainLinkExamples8;,&plainLinkExamples8;,&plainLinkExamples8;
&encodedDefaultPIppQuery;,&encodedDefaultPIppQuery;,&encodedDefaultPIppQuery;
&advancedSearch;,&advancedSearch;,&advancedSearch;
&bull;,&amp;bull;,&amp;bull;
&partNumber;,&partNumber;,&partNumber;
&widgetSelect;,&widgetSelect;,&widgetSelect;
&widgetYourName;,&widgetYourName;,&widgetYourName;
&widgetEmail;,&widgetEmail;,&widgetEmail;
&tTimestamp;,&tTimestamp;,&tTimestamp;
&tYourName;,&tYourName;,&tYourName;
&widgetGriddedOptions;,&widgetGriddedOptions;,&widgetGriddedOptions;
&widgetTabularOption;,&widgetTabularOption;,&widgetTabularOption;
&widgetsFrequencyOption;,&widgetsFrequencyOption;,&widgetsFrequencyOption;
&widgetsSubmitButton;,&widgetsSubmitButton;,&widgetsSubmitButton;
&fromInfo;,&fromInfo;,&fromInfo;
&dataFileTypeInfo;,&dataFileTypeInfo;,&dataFileTypeInfo;
allDatasets,allDatasets,allDatasets
&erddapVersion;,&erddapVersion;,&erddapVersion;
NOAA,NOAA,NOAA
NMFS,NMFS,NMFS
SWFSC,SWFSC,SWFSC
ERD,ERD,ERD
URN,URN,URN
DOI,DOI,DOI
"C., Lee Z., and Franz, B.A. (2012). Chlorophyll-a","C., Lee Z., and Franz, B.A. (2012). Chlorophyll-a","C., Lee Z., and Franz, B.A. (2012). Chlorophyll-a"
"algorithms for oligotrophic oceans: A novel approach","algorithms for oligotrophic oceans: A novel approach","algorithms for oligotrophic oceans: A novel approach"
"based on three-band reflectance difference, J. Geophys.","based on three-band reflectance difference, J. Geophys.","based on three-band reflectance difference, J. Geophys."
"Res., 117, C01011, doi:10.1029/2011JC007395.","Res., 117, C01011, doi:10.1029/2011JC007395.","Res., 117, C01011, doi:10.1029/2011JC007395."
&kUnknown;,&kUnknown;,&kUnknown;
&kString;,&kString;,&kString;
&kboolean;,&kboolean;,&kboolean;
&kbyte;,&kbyte;,&kbyte;
&kshort;,&kshort;,&kshort;
&kint;,&kint;,&kint;
&klong;,&klong;,&klong;
&kfloat;,&kfloat;,&kfloat;
&double;,&double;,&double;
&kLocation;,&kLocation;,&kLocation;
&kTime;,&kTime;,&kTime;
&kTaxonomy;,&kTaxonomy;,&kTaxonomy;
&kIdentifier;,&kIdentifier;,&kIdentifier;
&kOceanColor;,&kOceanColor;,&kOceanColor;
&kOther;,&kOther;,&kOther;
&widget;,&widget;,&widget;
degree_C,degree_C,degree_C
degree_F,degree_F,degree_F
&kcount;,&kcount;,&kcount;
degrees_north,degrees_north,degrees_north
degrees_east,degrees_east,degrees_east
days since 2010-01-01,days since 2010-01-01,days since 2010-01-01
minimum=32.0,minimum=32.0,minimum=32.0
maximum=37.0,maximum=37.0,maximum=37.0
&standardLicense;,&standardLicense;,&standardLicense;
&kstandard;,&kstandard;,&kstandard;
&klatitude;,&klatitude;,&klatitude;
&longitude;,&longitude;,&longitude;
&kaltitude;,&kaltitude;,&kaltitude;
&kdepth;,&kdepth;,&kdepth;
FIPS,FIPS,FIPS
&e0;,&e0;,&e0;
&datasetListRef;,&datasetListRef;,&datasetListRef;
&makeAGraphRef;,&makeAGraphRef;,&makeAGraphRef;
&makeAGraphListRef;,&makeAGraphListRef;,&makeAGraphListRef;
&likeThis;,&likeThis;,&likeThis;
&WMS_SERVER;,&WMS_SERVER;,&WMS_SERVER;
OpenLayers,OpenLayers,OpenLayers
&tWmsOpaqueExample130;,&tWmsOpaqueExample130;,&tWmsOpaqueExample130;
&tWmsOpaqueExample130Replaced;,&tWmsOpaqueExample130Replaced;,&tWmsOpaqueExample130Replaced;
&tWmsTransparentExample130Replaced;,&tWmsTransparentExample130Replaced;,&tWmsTransparentExample130Replaced;
GetCapabilities,GetCapabilities,GetCapabilities
&tWmsGetCapabilities130;,&tWmsGetCapabilities130;,&tWmsGetCapabilities130;
&tWmsOpaqueExample130Replaced;,&tWmsOpaqueExample130Replaced;,&tWmsOpaqueExample130Replaced;
GetMap,GetMap,GetMap
&WMS_SEPARATOR;,&WMS_SEPARATOR;,&WMS_SEPARATOR;
"""Land""","""Land""","""Land"""
"""Coastlines""","""Coastlines""","""Coastlines"""
"""LakesAndRivers""","""LakesAndRivers""","""LakesAndRivers"""
"""Nations""","""Nations""","""Nations"""
"""States""","""States""","""States"""
"""BLANK""","""BLANK""","""BLANK"""
colorBarMinimum,colorBarMinimum,colorBarMinimum
colorBarMaximum,colorBarMaximum,colorBarMaximum
EDDGrid,EDDGrid,EDDGrid
&HTMLselect;,&HTMLselect;,&HTMLselect;
